Date,Name,Weight,Sleep,Water,Breakfast,Lunch,Dinner,Exercise,HardestThing,Note
2026-01-01,User,75,7.5,,蛋糕,泡芙,肯德基,慢跑5小時,拒絕喝珍奶,繼續保持!
2026-01-02,User,1,,,,,,,,
2026-01-03,User,1,,,,,,,,
2026-01-04,User,1,,,,,,,,
2026-01-05,User,1,,,,,,,,
2026-01-06,User,1,,,,,,,,
2026-01-07,User,1,,,,,,,,
2026-01-08,User,1,,,,,,,,
2026-01-09,User,33,,,,,,,,
2026-01-10,User,1,,,,,,,,
2026-01-11,User,1,,,,,,,,
2026-01-12,User,1,,,,,,,,
2026-01-13,User,1,,,,,,,,
2026-01-14,User,1,,,,,,,,
2026-01-15,User,1,,,,,,,,
2026-01-16,User,1,,,,,,,,
